開啟檔案,mshome,YSD-JASON-177,2025-07-11 10:17:22,YSD25K24_BOM_101720.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 10:17:42,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 10:17:48,YSD25K24_BOM_101747.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 10:17:49,YSD25K24_BOM_101747.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 10:17:49,YSD25K24_BOM_101747.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 10:18:51,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 10:18:56,YSD25K24_BOM_101855.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 10:18:57,YSD25K24_BOM_101855.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 10:18:57,YSD25K24_BOM_101855.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:31:40,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:32:07,YSD25K24_BOM_143204.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:32:08,YSD25K24_BOM_143204.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:32:08,YSD25K24_BOM_143204.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:37:59,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:38:10,YSD25K24_BOM_143806.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:38:11,YSD25K24_BOM_143806.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:38:11,YSD25K24_BOM_143806.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:39:48,
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:41:07,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:41:11,YSD25K24_BOM_144110.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:41:12,YSD25K24_BOM_144110.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:41:12,YSD25K24_BOM_144110.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:43:50,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:43:56,YSD25K24_BOM_144355.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:43:57,YSD25K24_BOM_144355.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:43:57,YSD25K24_BOM_144355.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:50:18,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:50:23,YSD25K24_BOM_145021.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:50:24,YSD25K24_BOM_145021.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:50:24,YSD25K24_BOM_145021.xlsx
啟動程式,mshome,YSD-JASON-177,2025-07-11 14:53:13,
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:53:19,YSD25K24_BOM_145318.xlsx
匯出Excel,mshome,YSD-JASON-177,2025-07-11 14:53:20,YSD25K24_BOM_145318.xlsx
開啟檔案,mshome,YSD-JASON-177,2025-07-11 14:53:20,YSD25K24_BOM_145318.xlsx
